id,dim1,dim2,dim3,cid
1275,14,15,9,0
1276,15,16,10,0
1277,16,16,11,0
1278,16,17,11,0
1279,17,18,12,0
1280,15,16,10,0
1281,22,22,20,0
1282,25,25,23,0
1283,24,24,22,0
1284,17,17,15,0
1285,18,18,16,0
1286,24,24,22,0
1287,24,26,23,0
1288,25,27,24,0
1289,25,27,24,0
1290,25,27,24,0
1291,23,25,22,0
1292,22,24,21,0
1293,29,30,24,0
1294,25,26,20,0
1295,22,23,17,0
1296,21,22,17,0
1297,23,24,18,0
1298,25,26,22,0
1299,25,27,24,0
1300,24,26,23,0
1301,24,26,23,0
1302,24,26,23,0
1303,27,29,26,0
1304,20,22,19,0
1305,19,21,18,0
1306,20,22,19,0
1307,21,23,20,0
1308,22,24,21,0
1309,22,24,21,0
1310,20,22,19,0
1311,21,23,20,0
1312,23,25,22,0
1313,23,25,22,0
1314,21,23,20,0
1315,20,22,19,0
1316,25,27,24,0
1317,23,25,22,0
1318,21,23,20,0
1319,22,24,21,0
1320,24,26,23,0
1321,24,26,23,0
1322,23,25,22,0
1323,23,25,22,0
1324,23,25,22,0
1325,22,24,21,0
1326,22,24,21,0
1327,23,25,22,0
1328,24,26,23,0
1329,24,26,23,0
1330,24,26,23,0
1331,24,26,23,0
1332,24,26,23,0
1333,18,20,15,0
1334,30,32,25,0
1335,20,20,11,0
1336,34,32,19,0
1337,42,38,22,0
1338,52,47,28,0
1339,100,91,87,2
1340,109,99,99,2
1341,115,106,111,2
1342,104,97,103,2
1343,114,109,110,2
1344,114,109,105,2
1345,158,150,142,2
1346,119,109,99,2
1347,109,96,84,2
1348,119,103,87,2
1349,122,103,87,2
1350,145,128,112,2
1351,165,153,141,2
